age;default;housing;loan;campaign;pdays;previous;income;converted;balance_log;balance_negative;job_blue-collar;job_entrepreneur;job_housemaid;job_management;job_retired;job_self-employed;job_services;job_student;job_technician;job_unemployed;job_unknown;marital_married;marital_single;education_0;education_1;education_2;contact_telephone;contact_unknown;poutcome_other;poutcome_success;poutcome_unknown;month_aug;month_dec;month_feb;month_jan;month_jul;month_jun;month_mar;month_may;month_nov;month_oct;month_sep
58;0;1;0;1;999;0;16800;0;7.670428522190693;0;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
44;0;1;0;1;999;0;11895;0;3.4011973816621555;0;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
33;0;1;1;1;999;0;15000;0;1.0986122886681098;0;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
47;0;1;0;1;999;0;13000;0;7.317876198626496;0;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
33;0;0;0;1;999;0;11484;0;0.6931471805599453;0;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
35;0;1;0;1;999;0;16800;0;5.44673737166631;0;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
28;0;1;1;1;999;0;16800;0;6.104793232414985;0;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
42;1;1;0;1;999;0;15000;0;1.0986122886681098;0;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
58;0;1;0;1;999;0;7697;0;4.804021044733257;0;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
43;0;1;0;1;999;0;11895;0;6.386879319362645;0;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
41;0;1;0;1;999;0;12600;0;5.602118820879701;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
29;0;1;0;1;999;0;12600;0;5.968707559985366;0;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
53;0;1;0;1;999;0;11895;0;1.9459101490553132;0;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;True;False;False;False
